"","土地面積","建物面積","屋齡","房屋樓層","車位數目","有無管理","時間序列","單價萬_坪","lon","lat","road.name","price.level","X"
"3126",9.68,36.4331,18,"16",1,1,7,142727.272727273,120.610078,24.066799,"新竹市新竹巿牛埔東路241~270號","10~15W",1055
"3127",9.79,34.38215,6,"14",1,1,7,126519.008264463,120.93281,24.838704,"新竹市新竹巿天府路一段481~510號","10~15W",1056
"3128",13.92,37.39505,3,"12",1,1,7,209904.132231405,121.009218,24.792899,"新竹市新竹巿慈祥路61~90號","20~25W",1057
"3129",14.63,37.58865,1,"15",1,1,6,147117.355371901,120.952742,24.798363,"新竹市新竹巿經國路三段92巷16弄61~90號","10~15W",1058
"3130",20.66,57.369125,1,"15",2,1,6,130733.884297521,120.952712,24.79839,"新竹市新竹巿經國路三段92巷16弄61~90號","10~15W",1059
"3131",17.21,43.86855,1,"15",1,1,6,137910.743801653,120.953019,24.798119,"新竹市新竹巿經國路三段92巷16弄61~90號","10~15W",1060
"3132",18.07,45.499025,1,"15",1,1,6,141322.314049587,120.95288,24.798236,"新竹市新竹巿經國路三段92巷16弄31~60號","10~15W",1061
"3133",18.07,50.62035,1,"15",2,1,6,125444.628099174,120.952959,24.798164,"新竹市新竹巿經國路三段92巷16弄31~60號","10~15W",1062
"3134",18.94,52.250825,1,"15",2,1,6,129566.94214876,120.952979,24.798146,"新竹市新竹巿經國路三段92巷16弄31~60號","10~15W",1063
"3135",18.94,52.250825,1,"15",2,1,6,128036.363636364,120.953019,24.798119,"新竹市新竹巿經國路三段92巷16弄31~60號","10~15W",1064
"3136",18.94,52.250825,1,"15",2,1,6,127461.157024793,120.952999,24.798137,"新竹市新竹巿經國路三段92巷16弄31~60號","10~15W",1065
"3137",17.21,44.022825,1,"15",1,1,6,139699.173553719,120.952831,24.798281,"新竹市新竹巿經國路三段92巷16弄31~60號","10~15W",1066
"3138",18.07,51.276775,1,"15",2,1,6,126373.553719008,120.95293,24.798191,"新竹市新竹巿經國路三段92巷16弄1~30號","10~15W",1067
"3139",18.07,50.641525,1,"15",2,1,6,129342.148760331,120.952811,24.7983,"新竹市新竹巿經國路三段92巷16弄1~30號","10~15W",1068
"3140",17.21,43.387575,1,"15",1,1,6,140591.73553719,120.953009,24.798119,"新竹市新竹巿經國路三段92巷16弄1~30號","10~15W",1069
"3141",18.07,50.139375,1,"15",2,1,6,131633.05785124,120.952781,24.798327,"新竹市新竹巿經國路三段92巷16弄1~30號","10~15W",1070
"3142",18.07,25.0712,1,"15",2,1,6,270029.752066116,120.952999,24.798137,"新竹市新竹巿經國路三段92巷16弄1~30號",">25W",1071
"3143",18.07,50.774625,1,"15",2,1,6,133923.966942149,120.952752,24.798363,"新竹市新竹巿經國路三段92巷16弄1~30號","10~15W",1072
"3144",17.21,43.387575,1,"15",1,1,6,143590.082644628,120.952682,24.798417,"新竹市新竹巿經國路三段92巷16弄1~30號","10~15W",1073
"3145",17.21,43.9109,1,"15",1,1,6,150304.132231405,120.952959,24.798164,"新竹市新竹巿經國路三段92巷16弄1~30號","15~20W",1074
"3146",18.07,46.3672,1,"15",1,1,6,147732.231404959,120.952682,24.798417,"新竹市新竹巿經國路三段92巷16弄1~30號","10~15W",1075
"3147",18.07,50.139375,1,"15",2,1,6,130238.016528926,120.952732,24.798372,"新竹市新竹巿經國路三段92巷16弄1~30號","10~15W",1076
"3148",17.21,43.86855,1,"15",1,1,6,141332.231404959,120.95291,24.798209,"新竹市新竹巿經國路三段92巷16弄61~90號","10~15W",1077
